CPU_Usage,Memory_Usage,Bytes_Sent,Bytes_Recv,XMRig_Running
4.8,64.2,3655047,90800726,0
7.1,64.2,3655047,90800726,0
5.8,64.2,3655047,90800726,0
4.5,64.2,3655047,90800726,0
4.7,64.2,3655047,90800726,0
8.0,64.2,3655047,90800726,0
3.4,64.2,3655047,90800726,0
3.3,64.2,3655047,90800726,0
10.5,64.2,3655047,90800726,0
9.2,64.2,3655047,90800726,0
11.7,64.3,3655047,90800726,0
11.2,64.3,3655047,90800726,0
3.4,64.3,3655047,90800726,0
3.2,64.3,3655047,90800726,0
4.4,64.3,3655047,90800726,0
4.5,64.3,3655047,90800726,0
2.2,64.3,3655047,90800726,0
2.2,64.3,3655047,90800726,0
4.4,64.3,3655047,90800726,0
4.4,64.3,3655047,90800726,0
3.2,64.3,3655047,90800726,0
4.5,64.3,3655047,90800726,0
4.4,64.3,3655047,90800726,0
2.2,64.3,3655047,90800726,0
4.6,64.3,3655047,90800726,0
5.7,64.3,3655047,90800726,0
6.9,64.3,3655047,90800726,0
3.6,64.4,3655047,90800726,0
